REGION, REGION_ID, WEST, EAST, SOUTH, NORTH
West Town-Near West,11,-87.69161700000001,-87.64720799999999,41.866129,41.910561
Far North West,2,-87.84621,-87.747456,41.960669,42.0190998
Washington Hts-Roseland-Pullman,26,-87.662508,-87.584845,41.677477,41.728472
Edge Water-Uptown,4,-87.67459000000001,-87.646438,41.960669,41.997946
Near South-Douglas,16,-87.63632199999999,-87.597952,41.822792,41.866129
Irving Park-Avondale-North Ctr,6,-87.747456,-87.67459000000001,41.931841,41.960669
Downtown Lakefront,29,-87.62308,-87.595378,41.866129,41.911401
Lincoln Park-Lake View,8,-87.67459000000001,-87.619112,41.910561,41.960669
Humboldt-Garfield Prk E/W,10,-87.747456,-87.69161700000001,41.866129,41.909269
South Deering-East Side,27,-87.584845,-87.524436,41.677477,41.728472
Riverdale-Hegewisch,28,-87.662508,-87.524436,41.644139,41.677477
North Park-Albany-Linconl Sq,3,-87.747456,-87.67459000000001,41.960669,41.997946
New City-Englewood-W Englewood,19,-87.68373000000001,-87.63632199999999,41.764066,41.822792
Lawndale N/S,14,-87.747456,-87.685372,41.822792,41.866129
Austin,9,-87.775947,-87.747456,41.866129,41.909269
Hyde Park-Kenwood-Woodlawn,21,-87.60633399999999,-87.56626,41.764066,41.822792
Near North,12,-87.64720799999999,-87.62308,41.88886,41.911401
Dunning-Portage-Belmont Cragn,5,-87.84621,-87.747456,41.909269,41.960669
Auburn Gresham-Chatham,23,-87.67298000000001,-87.60633399999999,41.728472,41.764066
Chicago Loop,13,-87.64720799999999,-87.62308,41.866129,41.88886
Fuller-Grand Blvd-Washington Park,20,-87.63632199999999,-87.60633399999999,41.764066,41.822792
South West Side,18,-87.747456,-87.68373000000001,41.764066,41.822792
Hermosa-Logan Square,7,-87.747456,-87.67459000000001,41.909269,41.931841
Rogers Park - West Ridge,1,-87.709645,-87.654561,41.997946,42.026444
Bridgeport-McKinley-Lower West,15,-87.685372,-87.63632199999999,41.822792,41.866129
Beverly-Mt Greenwood-Morgan Park,25,-87.747456,-87.662508,41.677477,41.728472
Ashburn,22,-87.747456,-87.67298000000001,41.728472,41.764066
Midway-Garfield Rdg-Clearing,17,-87.802188,-87.747456,41.764066,41.822792
South Shore-S Chicago-Avlon,24,-87.60633399999999,-87.526388,41.728472,41.764066
