REGION, REGION_ID,UPPERLEFT_X,UPPERLEFT_Y,UPPERRIGHT_X,UPPERRIGHT_Y,LOWERLEFT_X,LOWERLEFT_Y,LOWERRIGHT_X,LOWERRIGHT_Y
West Town-Near West,11,-87.69161700000001,41.910561,-87.64720799999999,41.910561,-87.69161700000001,41.866129,-87.64720799999999,41.866129
Far North West,2,-87.84621,42.0190998,-87.747456,42.0190998,-87.84621,41.960669,-87.747456,41.960669
Washington Hts-Roseland-Pullman,26,-87.662508,41.728472,-87.584845,41.728472,-87.662508,41.677477,-87.584845,41.677477
Edge Water-Uptown,4,-87.67459000000001,41.997946,-87.646438,41.997946,-87.67459000000001,41.960669,-87.646438,41.960669
Near South-Douglas,16,-87.63632199999999,41.866129,-87.597952,41.866129,-87.63632199999999,41.822792,-87.597952,41.822792
Irving Park-Avondale-North Ctr,6,-87.747456,41.960669,-87.67459000000001,41.960669,-87.747456,41.931841,-87.67459000000001,41.931841
Downtown Lakefront,29,-87.62308,41.911401,-87.595378,41.911401,-87.62308,41.866129,-87.595378,41.866129
Lincoln Park-Lake View,8,-87.67459000000001,41.960669,-87.619112,41.960669,-87.67459000000001,41.910561,-87.619112,41.910561
Humboldt-Garfield Prk E/W,10,-87.747456,41.909269,-87.69161700000001,41.909269,-87.747456,41.866129,-87.69161700000001,41.866129
South Deering-East Side,27,-87.584845,41.728472,-87.524436,41.728472,-87.584845,41.677477,-87.524436,41.677477
Riverdale-Hegewisch,28,-87.662508,41.677477,-87.524436,41.677477,-87.662508,41.644139,-87.524436,41.644139
North Park-Albany-Linconl Sq,3,-87.747456,41.997946,-87.67459000000001,41.997946,-87.747456,41.960669,-87.67459000000001,41.960669
New City-Englewood-W Englewood,19,-87.68373000000001,41.822792,-87.63632199999999,41.822792,-87.68373000000001,41.764066,-87.63632199999999,41.764066
Lawndale N/S,14,-87.747456,41.866129,-87.685372,41.866129,-87.747456,41.822792,-87.685372,41.822792
Austin,9,-87.775947,41.909269,-87.747456,41.909269,-87.775947,41.866129,-87.747456,41.866129
Hyde Park-Kenwood-Woodlawn,21,-87.60633399999999,41.822792,-87.56626,41.822792,-87.60633399999999,41.764066,-87.56626,41.764066
Near North,12,-87.64720799999999,41.911401,-87.62308,41.911401,-87.64720799999999,41.88886,-87.62308,41.88886
Dunning-Portage-Belmont Cragn,5,-87.84621,41.960669,-87.747456,41.960669,-87.84621,41.909269,-87.747456,41.909269
Auburn Gresham-Chatham,23,-87.67298000000001,41.764066,-87.60633399999999,41.764066,-87.67298000000001,41.728472,-87.60633399999999,41.728472
Chicago Loop,13,-87.64720799999999,41.88886,-87.62308,41.88886,-87.64720799999999,41.866129,-87.62308,41.866129
Fuller-Grand Blvd-Washington Park,20,-87.63632199999999,41.822792,-87.60633399999999,41.822792,-87.63632199999999,41.764066,-87.60633399999999,41.764066
South West Side,18,-87.747456,41.822792,-87.68373000000001,41.822792,-87.747456,41.764066,-87.68373000000001,41.764066
Hermosa-Logan Square,7,-87.747456,41.931841,-87.67459000000001,41.931841,-87.747456,41.909269,-87.67459000000001,41.909269
Rogers Park - West Ridge,1,-87.709645,42.026444,-87.654561,42.026444,-87.709645,41.997946,-87.654561,41.997946
Bridgeport-McKinley-Lower West,15,-87.685372,41.866129,-87.63632199999999,41.866129,-87.685372,41.822792,-87.63632199999999,41.822792
Beverly-Mt Greenwood-Morgan Park,25,-87.747456,41.728472,-87.662508,41.728472,-87.747456,41.677477,-87.662508,41.677477
Ashburn,22,-87.747456,41.764066,-87.67298000000001,41.764066,-87.747456,41.728472,-87.67298000000001,41.728472
Midway-Garfield Rdg-Clearing,17,-87.802188,41.822792,-87.747456,41.822792,-87.802188,41.764066,-87.747456,41.764066
South Shore-S Chicago-Avlon,24,-87.60633399999999,41.764066,-87.526388,41.764066,-87.60633399999999,41.728472,-87.526388,41.728472
